District,Sector,Cell,Village,Activity,MIN,AVG,MAX
Gasabo,Bumbogo,Mvuzo,Nyura,ExistingForest,17368,23073,36746
Gasabo,Bumbogo,Mvuzo,Nyura,FarmLand(General),17368,20816,36746
Gasabo,Bumbogo,Mvuzo,Ruhinga,,17368,21978,36746
Gasabo,Bumbogo,Mvuzo,Ruhinga,FarmLand(General),17368,21978,36746
Gasabo,Bumbogo,Mvuzo,Rukoma,,805,6938,36746
Gasabo,Bumbogo,Mvuzo,Rukoma,ExistingForest,1774,2362,3930
Gasabo,Bumbogo,Mvuzo,Rukoma,FarmLand(General),805,1818,5467
Gasabo,Bumbogo,Mvuzo,Rukoma,LowRiseResidential,17368,21604,36746
Gasabo,Bumbogo,Mvuzo,Rukoma,Wetland,1479,1969,4925
Gasabo,Bumbogo,Ngara,,,1014,13076,36746
Gasabo,Bumbogo,Ngara,Agatare,,17368,20187,36746
Gasabo,Bumbogo,Ngara,Agatare,FarmLand(General),17368,20187,36746
Gasabo,Bumbogo,Ngara,Birembo,,1717,11881,36746
Gasabo,Bumbogo,Ngara,Birembo,ExistingForest,17368,20867,31000
Gasabo,Bumbogo,Ngara,Birembo,FarmLand(General),1717,5774,31095
Gasabo,Bumbogo,Ngara,Birembo,LowRiseResidential,5500,5749,11171
Gasabo,Bumbogo,Ngara,Birembo,Plantation,1925,6472,28611
Gasabo,Bumbogo,Ngara,Birembo,Wetland,17098,20544,36746
Gasabo,Bumbogo,Ngara,Gisasa,,1865,3864,11675
Gasabo,Bumbogo,Ngara,Gisasa,ExistingForest,3885,4164,7647
Gasabo,Bumbogo,Ngara,Gisasa,FarmLand(General),1865,3542,11675
Gasabo,Bumbogo,Ngara,Gisasa,LowRiseResidential,3627,3885,9501
Gasabo,Bumbogo,Ngara,Kayenzi,,17368,22328,36746
Gasabo,Bumbogo,Ngara,Kayenzi,Wetland,17368,22328,36746
Gasabo,Bumbogo,Ngara,Kiriza,,17368,20776,36746
Gasabo,Bumbogo,Ngara,Kiriza,FarmLand(General),17368,19213,36746
Gasabo,Bumbogo,Ngara,Kiriza,Wetland,17368,22340,36746
Gasabo,Bumbogo,Ngara,Munini,,1134,8666,36746
Gasabo,Bumbogo,Ngara,Munini,ExistingForest,2062,2349,5005
Gasabo,Bumbogo,Ngara,Munini,FarmLand(General),1134,2747,12319
Gasabo,Bumbogo,Ngara,Munini,LowRiseResidential,17368,20902,36746
Gasabo,Bumbogo,Ngara,Nyabitare,,17368,21662,36746
Gasabo,Bumbogo,Ngara,Nyabitare,FarmLand(General),17368,21662,36746
Gasabo,Bumbogo,Ngara,Nyaburoro,,17368,21427,36746
Gasabo,Bumbogo,Ngara,Nyaburoro,FarmLand(General),17368,21427,36746
Gasabo,Bumbogo,Ngara,Nyura,,17368,19756,36746
Gasabo,Bumbogo,Ngara,Nyura,FarmLand(General),17368,19756,36746
Gasabo,Bumbogo,Ngara,Ruhinga,,1014,9365,36746
Gasabo,Bumbogo,Ngara,Ruhinga,ExistingForest,2703,3048,7238
Gasabo,Bumbogo,Ngara,Ruhinga,FarmLand(General),1014,3311,11517
Gasabo,Bumbogo,Ngara,Ruhinga,LowRiseResidential,17368,21737,36746
Gasabo,Bumbogo,Ngara,Taba,,17368,22784,36746
Gasabo,Bumbogo,Ngara,Taba,FarmLand(General),17368,22784,36746
Gasabo,Bumbogo,Ngara,Uwaruraza,,1718,10707,36746
Gasabo,Bumbogo,Ngara,Uwaruraza,ExistingForest,17368,22007,36746
Gasabo,Bumbogo,Ngara,Uwaruraza,FarmLand(General),1718,4314,12918
Gasabo,Bumbogo,Ngara,Uwaruraza,LowRiseResidential,5138,5800,10073
Gasabo,Bumbogo,Nkuzuzu,,,468,9671,36746
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,,541,1411,4681
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,ExistingForest,1009,1071,2602
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,FarmLand(General),541,1101,4681
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,LowRiseResidential,1137,1674,3783
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,Plantation,796,1621,4033
Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,Wetland,1496,1589,3549
Gasabo,Bumbogo,Nkuzuzu,Akasedogo,,618,1039,4198
Gasabo,Bumbogo,Nkuzuzu,Akasedogo,ExistingForest,1072,1225,4198
Gasabo,Bumbogo,Nkuzuzu,Akasedogo,FarmLand(General),618,853,4198
Gasabo,Bumbogo,Nkuzuzu,Akimpama,,468,6199,36746
Gasabo,Bumbogo,Nkuzuzu,Akimpama,ExistingForest,1643,1803,3164
Gasabo,Bumbogo,Nkuzuzu,Akimpama,FarmLand(General),468,915,3805
Gasabo,Bumbogo,Nkuzuzu,Akimpama,LowRiseResidential,17368,20739,36746
Gasabo,Bumbogo,Nkuzuzu,Akimpama,Plantation,685,1340,3672
Gasabo,Bumbogo,Nkuzuzu,Burima,,618,6486,36746
Gasabo,Bumbogo,Nkuzuzu,Burima,ExistingForest,928,1001,3151
Gasabo,Bumbogo,Nkuzuzu,Burima,FarmLand(General),618,1090,4683
Gasabo,Bumbogo,Nkuzuzu,Burima,LowRiseResidential,16267,17368,36746
Gasabo,Bumbogo,Nkuzuzu,Gishaka,,17368,18850,36746
Gasabo,Bumbogo,Nkuzuzu,Gishaka,Wetland,17368,18850,36746
Gasabo,Bumbogo,Nkuzuzu,Kacyatwa,,14864,17368,36746
Gasabo,Bumbogo,Nkuzuzu,Kacyatwa,FarmLand(General),14864,17368,36746
Gasabo,Bumbogo,Nkuzuzu,Kityazo,,597,5443,36746
Gasabo,Bumbogo,Nkuzuzu,Kityazo,ExistingForest,1321,1422,3672
Gasabo,Bumbogo,Nkuzuzu,Kityazo,FarmLand(General),597,1008,3960
Gasabo,Bumbogo,Nkuzuzu,Kityazo,LowRiseResidential,17368,22243,36746
Gasabo,Bumbogo,Nkuzuzu,Kityazo,Plantation,672,1135,3029
Gasabo,Bumbogo,Nkuzuzu,Kityazo,Wetland,1305,1405,3741
Gasabo,Bumbogo,Nkuzuzu,Kivugiza,,17368,19238,36746
Gasabo,Bumbogo,Nkuzuzu,Kivugiza,FarmLand(General),17368,19238,36746
Gasabo,Bumbogo,Nkuzuzu,Munini,,17368,18695,36746
Gasabo,Bumbogo,Nkuzuzu,Munini,FarmLand(General),17368,18695,36746
Gasabo,Bumbogo,Nkuzuzu,Nyamise,,17368,18781,36746
Gasabo,Bumbogo,Nkuzuzu,Nyamise,FarmLand(General),17368,18781,36746
Gasabo,Bumbogo,Nkuzuzu,Rugarama,,17368,22698,36746
Gasabo,Bumbogo,Nkuzuzu,Rugarama,FarmLand(General),17368,22698,36746
Gasabo,Bumbogo,Nkuzuzu,Rwanyanza,,17368,18955,36746
Gasabo,Bumbogo,Nkuzuzu,Rwanyanza,FarmLand(General),17368,18955,36746
Gasabo,Bumbogo,Nkuzuzu,Urutarishonga,,15488,21754,36746
Gasabo,Bumbogo,Nkuzuzu,Urutarishonga,ExistingForest,17368,22640,36746
Gasabo,Bumbogo,Nkuzuzu,Urutarishonga,FarmLand(General),17368,22434,36746
Gasabo,Bumbogo,Nkuzuzu,Urutarishonga,Wetland,15488,20189,35775
Gasabo,Bumbogo,Nyabikenke,,,677,12758,36746
Gasabo,Bumbogo,Nyabikenke,Birembo,,17368,22955,36746
Gasabo,Bumbogo,Nyabikenke,Birembo,Wetland,17368,22955,36746
Gasabo,Bumbogo,Nyabikenke,Bushya,,955,14872,36746
Gasabo,Bumbogo,Nyabikenke,Bushya,ExistingForest,17368,20232,36746
Gasabo,Bumbogo,Nyabikenke,Bushya,FarmLand(General),955,1780,5430
Gasabo,Bumbogo,Nyabikenke,Bushya,LowRiseResidential,17368,22605,36746
Gasabo,Bumbogo,Nyabikenke,Gasharu,,17368,20713,36746
Gasabo,Bumbogo,Nyabikenke,Gasharu,FarmLand(General),17368,20713,36746
Gasabo,Bumbogo,Nyabikenke,Gikumba,,1532,12899,36746
Gasabo,Bumbogo,Nyabikenke,Gikumba,EducationInstitution,17368,22391,36746
Gasabo,Bumbogo,Nyabikenke,Gikumba,ExistingForest,2646,2895,5029
Gasabo,Bumbogo,Nyabikenke,Gikumba,FarmLand(General),1532,4981,30025
Gasabo,Bumbogo,Nyabikenke,Gikumba,LowRiseResidential,17368,21328,36746
Gasabo,Bumbogo,Nyabikenke,Kagarama,,1410,11391,36746
Gasabo,Bumbogo,Nyabikenke,Kagarama,FarmLand(General),1410,1836,4124
Gasabo,Bumbogo,Nyabikenke,Kagarama,LowRiseResidential,17368,20946,36746
Gasabo,Bumbogo,Nyabikenke,Kamutamu,,912,8364,36746
Gasabo,Bumbogo,Nyabikenke,Kamutamu,ExistingForest,1645,1722,3513
Gasabo,Bumbogo,Nyabikenke,Kamutamu,FarmLand(General),912,1507,4891
Gasabo,Bumbogo,Nyabikenke,Kamutamu,LowRiseResidential,17368,21864,36746
Gasabo,Bumbogo,Nyabikenke,Karama,,1031,11991,36746
Gasabo,Bumbogo,Nyabikenke,Karama,ExistingForest,2186,2360,4099
Gasabo,Bumbogo,Nyabikenke,Karama,FarmLand(General),1031,2441,28959
Gasabo,Bumbogo,Nyabikenke,Karama,LowRiseResidential,17368,21064,36746
Gasabo,Bumbogo,Nyabikenke,Karama,VacantLand,17368,22100,36746
Gasabo,Bumbogo,Nyabikenke,Kayenzi,,2320,9705,31575
Gasabo,Bumbogo,Nyabikenke,Kayenzi,ExistingForest,4780,8243,17938
Gasabo,Bumbogo,Nyabikenke,Kayenzi,FarmLand(General),2320,9435,31575
Gasabo,Bumbogo,Nyabikenke,Kayenzi,LowRiseResidential,6501,13770,29520
Gasabo,Bumbogo,Nyabikenke,Kayenzi,Wetland,4274,7371,22568
Gasabo,Bumbogo,Nyabikenke,Kigabiro,,17368,20633,36746
Gasabo,Bumbogo,Nyabikenke,Kigabiro,FarmLand(General),17368,20633,36746
Gasabo,Bumbogo,Nyabikenke,Kigara,,761,11811,36746
Gasabo,Bumbogo,Nyabikenke,Kigara,ExistingForest,17368,21883,36746
Gasabo,Bumbogo,Nyabikenke,Kigara,FarmLand(General),761,1739,5178
Gasabo,Bumbogo,Nyabikenke,Kiriza,,1308,2683,12775
Gasabo,Bumbogo,Nyabikenke,Kiriza,ExistingForest,2108,2302,8504
Gasabo,Bumbogo,Nyabikenke,Kiriza,FarmLand(General),1308,3188,12775
Gasabo,Bumbogo,Nyabikenke,Kiriza,Wetland,2345,2561,8182
Gasabo,Bumbogo,Nyabikenke,Masizi,,3479,17330,36746
Gasabo,Bumbogo,Nyabikenke,Masizi,ExistingForest,17368,22544,36043
Gasabo,Bumbogo,Nyabikenke,Masizi,FarmLand(General),3479,10656,31042
Gasabo,Bumbogo,Nyabikenke,Masizi,LowRiseResidential,7506,13803,30411
Gasabo,Bumbogo,Nyabikenke,Masizi,Wetland,17191,22315,36746
Gasabo,Bumbogo,Nyabikenke,Mbogo,,852,1569,4878
Gasabo,Bumbogo,Nyabikenke,Mbogo,ExistingForest,1436,1609,3559
Gasabo,Bumbogo,Nyabikenke,Mbogo,FarmLand(General),852,1530,4878
Gasabo,Bumbogo,Nyabikenke,Muhozi,,17368,21132,36746
Gasabo,Bumbogo,Nyabikenke,Muhozi,FarmLand(General),17368,21132,36746
Gasabo,Bumbogo,Nyabikenke,Munini,,17368,20918,36746
Gasabo,Bumbogo,Nyabikenke,Munini,FarmLand(General),17368,20918,36746
Gasabo,Bumbogo,Nyabikenke,Nyampamo,,677,11671,36746
Gasabo,Bumbogo,Nyabikenke,Nyampamo,ExistingForest,17368,21851,36746
Gasabo,Bumbogo,Nyabikenke,Nyampamo,FarmLand(General),677,1491,4945
Gasabo,Bumbogo,Nyabikenke,Rindiro,,17368,22571,36746
Gasabo,Bumbogo,Nyabikenke,Rindiro,FarmLand(General),17368,22571,36746
Gasabo,Bumbogo,Nyabikenke,Zindiro,,17368,23048,36746
Gasabo,Bumbogo,Nyabikenke,Zindiro,FarmLand(General),17368,23048,36746
Gasabo,Bumbogo,Nyagasozi,,,610,11906,36746
Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,,932,6691,36746
Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,ExistingForest,1504,1833,3385
Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,FarmLand(General),932,1566,4960
Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,LowRiseResidential,17368,21661,36746
Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,Wetland,1398,1704,4166
Gasabo,Bumbogo,Nyagasozi,Akigabiro,,889,12159,36746
Gasabo,Bumbogo,Nyagasozi,Akigabiro,ExistingForest,17368,22421,36746
Gasabo,Bumbogo,Nyagasozi,Akigabiro,FarmLand(General),889,1898,5702
Gasabo,Bumbogo,Nyagasozi,Gishaka,,610,10311,36746
Gasabo,Bumbogo,Nyagasozi,Gishaka,ExistingForest,1405,1875,3878
Gasabo,Bumbogo,Nyagasozi,Gishaka,FarmLand(General),610,1153,4532
Gasabo,Bumbogo,Nyagasozi,Gishaka,LowRiseResidential,17368,21105,36746
Gasabo,Bumbogo,Nyagasozi,Gishaka,Plantation,944,1786,3866
Gasabo,Bumbogo,Nyagasozi,Gishaka,ReligiousFacilities,17368,22984,36746
Gasabo,Bumbogo,Nyagasozi,Gishaka,VacantLand,17368,22102,36746
Gasabo,Bumbogo,Nyagasozi,Gishaka,Wetland,880,1174,4497
Gasabo,Bumbogo,Nyagasozi,Kabarera,,16232,17368,36746
Gasabo,Bumbogo,Nyagasozi,Kabarera,FarmLand(General),16232,17368,36746
Gasabo,Bumbogo,Nyagasozi,Kabuye,,10710,19160,36746
Gasabo,Bumbogo,Nyagasozi,Kabuye,FarmLand(General),10710,14090,36746
Gasabo,Bumbogo,Nyagasozi,Kabuye,LowRiseResidential,17368,20542,36746
Gasabo,Bumbogo,Nyagasozi,Kabuye,Plantation,17368,22849,27496
Gasabo,Bumbogo,Nyagasozi,Kamuhoza,,17368,23073,36746
Gasabo,Bumbogo,Nyagasozi,Kamuhoza,FarmLand(General),17368,23073,36746
Gasabo,Bumbogo,Nyagasozi,Kibenga,,17368,21721,36746
Gasabo,Bumbogo,Nyagasozi,Kibenga,FarmLand(General),17368,21721,36746
Gasabo,Bumbogo,Nyagasozi,Kityazo,,17151,17368,36746
Gasabo,Bumbogo,Nyagasozi,Kityazo,Wetland,17151,17368,36746
Gasabo,Bumbogo,Nyagasozi,Mpabwa,,830,5980,36746
Gasabo,Bumbogo,Nyagasozi,Mpabwa,ExistingForest,1818,2048,3405
Gasabo,Bumbogo,Nyagasozi,Mpabwa,FarmLand(General),830,1846,4907
Gasabo,Bumbogo,Nyagasozi,Mpabwa,LowRiseResidential,17368,22083,36746
Gasabo,Bumbogo,Nyagasozi,Mpabwa,Plantation,858,1908,4007
Gasabo,Bumbogo,Nyagasozi,Mpabwa,Wetland,1789,2016,4372
Gasabo,Bumbogo,Nyagasozi,Munini,,17368,21877,36746
Gasabo,Bumbogo,Nyagasozi,Munini,FarmLand(General),17368,21877,36746
Gasabo,Bumbogo,Nyagasozi,Murarambo,,17368,22692,36746
Gasabo,Bumbogo,Nyagasozi,Murarambo,ExistingForest,17368,22653,36746
Gasabo,Bumbogo,Nyagasozi,Murarambo,FarmLand(General),17368,22730,36746
Gasabo,Bumbogo,Nyagasozi,Nyagasambu,,713,7558,36746
Gasabo,Bumbogo,Nyagasozi,Nyagasambu,FarmLand(General),713,1065,4718
Gasabo,Bumbogo,Nyagasozi,Nyagasambu,LowRiseResidential,17368,20052,36746
Gasabo,Bumbogo,Nyagasozi,Nyagasambu,Wetland,911,1557,3958
Gasabo,Bumbogo,Nyagasozi,Rukoma,,17368,21431,36746
Gasabo,Bumbogo,Nyagasozi,Rukoma,FarmLand(General),17368,22542,36746
Gasabo,Bumbogo,Nyagasozi,Rukoma,Wetland,17368,20320,36746
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,,891,5888,36746
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,ExistingForest,1407,1773,3966
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,FarmLand(General),891,1523,4609
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,GovernmentOffice,17368,22785,36746
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,LowRiseResidential,1509,1697,2947
Gasabo,Bumbogo,Nyagasozi,Urutarishonga,Wetland,1321,1664,4001
Gasabo,Gatsata,,,,2485,9956,77823
Gasabo,Gatsata,Karuruma,,,2876,9389,77823
Gasabo,Gatsata,Karuruma,Akamamana,,7283,7716,22363
Gasabo,Gatsata,Karuruma,Akamamana,LowRiseResidential,7283,7710,22363
Gasabo,Gatsata,Karuruma,Akamamana,Plantation,7632,7721,12815
Gasabo,Gatsata,Karuruma,Akimihigo,,6764,14385,36746
Gasabo,Gatsata,Karuruma,Akimihigo,LowRiseResidential,6764,8171,35044
Gasabo,Gatsata,Karuruma,Akimihigo,VacantLand,17368,20599,36746
Gasabo,Gatsata,Karuruma,Bigega,,3422,8680,36746
Gasabo,Gatsata,Karuruma,Bigega,FarmLand(General),3586,4571,22835
Gasabo,Gatsata,Karuruma,Bigega,LowRiseResidential,4950,5811,26451
Gasabo,Gatsata,Karuruma,Bigega,Plantation,3422,4363,25977
Gasabo,Gatsata,Karuruma,Bigega,VacantLand,17368,19975,36746
Gasabo,Gatsata,Karuruma,Busasamana,,5740,7725,30385
Gasabo,Gatsata,Karuruma,Busasamana,LowRiseResidential,6456,8479,29198
Gasabo,Gatsata,Karuruma,Busasamana,Plantation,5740,6971,30385
Gasabo,Gatsata,Karuruma,Kingasire,,2892,9891,48954
Gasabo,Gatsata,Karuruma,Kingasire,ExistingForest,10098,11523,28456
Gasabo,Gatsata,Karuruma,Kingasire,FarmLand(General),3129,5481,43347
Gasabo,Gatsata,Karuruma,Kingasire,LowRiseResidential,5954,7476,26674
Gasabo,Gatsata,Karuruma,Kingasire,Plantation,2892,5065,48954
Gasabo,Gatsata,Karuruma,Kingasire,VacantLand,17368,19909,36746
Gasabo,Gatsata,Karuruma,Kumuyange,,3681,9495,45433
Gasabo,Gatsata,Karuruma,Kumuyange,HealthFacilities,6428,8153,23876
Gasabo,Gatsata,Karuruma,Kumuyange,LowRiseResidential,3681,6095,27353
Gasabo,Gatsata,Karuruma,Kumuyange,Plantation,5101,6366,45433
Gasabo,Gatsata,Karuruma,Kumuyange,VacantLand,15084,17368,36746
Gasabo,Gatsata,Karuruma,Muremera,,3245,8400,39707
Gasabo,Gatsata,Karuruma,Muremera,ExistingForest,3670,6584,39707
Gasabo,Gatsata,Karuruma,Muremera,FarmLand(General),3348,4899,23701
Gasabo,Gatsata,Karuruma,Muremera,LowRiseResidential,15212,17368,36746
Gasabo,Gatsata,Karuruma,Muremera,Plantation,3245,4748,28818
Gasabo,Gatsata,Karuruma,Nyagasozi,,2876,8429,77823
Gasabo,Gatsata,Karuruma,Nyagasozi,ExistingForest,3742,11409,70573
Gasabo,Gatsata,Karuruma,Nyagasozi,FarmLand(General),2876,5880,68399
Gasabo,Gatsata,Karuruma,Nyagasozi,LowRiseResidential,8229,10176,36113
Gasabo,Gatsata,Karuruma,Nyagasozi,Plantation,3057,6251,77823
Gasabo,Gatsata,Karuruma,Rugoro,,2895,7760,43499
Gasabo,Gatsata,Karuruma,Rugoro,ExistingForest,17368,17768,36746
Gasabo,Gatsata,Karuruma,Rugoro,FarmLand(General),3771,4739,43499
Gasabo,Gatsata,Karuruma,Rugoro,HeavyIndustrial,5971,6466,22023
Gasabo,Gatsata,Karuruma,Rugoro,LowRiseResidential,3158,5786,24832
Gasabo,Gatsata,Karuruma,Rugoro,Plantation,2895,3638,24085
Gasabo,Gatsata,Karuruma,Rugoro,VacantLand,6616,8161,19586
Gasabo,Gatsata,Karuruma,Rwesero,,5862,12690,36746
Gasabo,Gatsata,Karuruma,Rwesero,LowRiseResidential,5862,8012,26315
Gasabo,Gatsata,Karuruma,Rwesero,VacantLand,14617,17368,36746
Gasabo,Gatsata,Karuruma,Tetero,,3354,10899,60905
Gasabo,Gatsata,Karuruma,Tetero,ExistingForest,17368,18570,36746
Gasabo,Gatsata,Karuruma,Tetero,FarmLand(General),3376,4800,60905
Gasabo,Gatsata,Karuruma,Tetero,LowRiseResidential,5968,6869,26179
Gasabo,Gatsata,Karuruma,Tetero,Plantation,3354,4769,55765
Gasabo,Gatsata,Karuruma,Tetero,VacantLand,17368,19486,36746
Gasabo,Gatsata,Nyamabuye,,,2992,10989,36746
Gasabo,Gatsata,Nyamabuye,Agakomeye,,4701,11336,36746
Gasabo,Gatsata,Nyamabuye,Agakomeye,LowRiseResidential,4701,8427,29432
Gasabo,Gatsata,Nyamabuye,Agakomeye,VacantLand,17368,19809,36746
Gasabo,Gatsata,Nyamabuye,Agakomeye,Wetland,5204,5772,23268
Gasabo,Gatsata,Nyamabuye,Gashubi,,4766,12911,36746
Gasabo,Gatsata,Nyamabuye,Gashubi,ExistingForest,4766,10584,27916
